epoch,train_loss,valid_loss,recon_mse,time
375,-3.2401998043060303,-2.9591076374053955,0.027955899015069008,00:01
376,-3.2470457553863525,-2.9723246097564697,0.02791122905910015,00:01
377,-3.2452211380004883,-2.963968515396118,0.028007587417960167,00:01
378,-3.2480735778808594,-2.974186658859253,0.02802024781703949,00:01
379,-3.2472729682922363,-2.9608819484710693,0.027763349935412407,00:01
380,-3.2422995567321777,-2.9663071632385254,0.02801179140806198,00:01
381,-3.251849889755249,-2.961103916168213,0.02799767442047596,00:01
382,-3.2508139610290527,-2.962475299835205,0.027965333312749863,00:01
383,-3.2510550022125244,-2.967771053314209,0.028120916336774826,00:01
384,-3.2348198890686035,-2.97358775138855,0.02822023630142212,00:01
385,-3.2488105297088623,-2.967355251312256,0.02797388657927513,00:01
386,-3.247629404067993,-2.9718973636627197,0.027824316173791885,00:01
387,-3.2408764362335205,-2.9595189094543457,0.02818174473941326,00:01
388,-3.2509472370147705,-2.960885524749756,0.028025509789586067,00:01
389,-3.258180856704712,-2.9658939838409424,0.027866242453455925,00:01
390,-3.2609808444976807,-2.960078716278076,0.02795131504535675,00:01
391,-3.258009195327759,-2.9591267108917236,0.028041498735547066,00:01
392,-3.2420103549957275,-2.954913854598999,0.02807873673737049,00:01
393,-3.2586135864257812,-2.964143753051758,0.027807515114545822,00:01
394,-3.2626121044158936,-2.9591429233551025,0.027856511995196342,00:01
395,-3.246413469314575,-2.968630075454712,0.028005709871649742,00:01
396,-3.2623679637908936,-2.960343837738037,0.027887869626283646,00:01
397,-3.2605504989624023,-2.958932399749756,0.027850046753883362,00:01
398,-3.264129161834717,-2.965289354324341,0.02776728756725788,00:01
399,-3.2535619735717773,-2.962200164794922,0.02795047126710415,00:01
400,-3.2617619037628174,-2.96248459815979,0.02783334255218506,00:01
401,-3.2569007873535156,-2.957968235015869,0.02795744314789772,00:01
402,-3.263756275177002,-2.9642937183380127,0.027916602790355682,00:01
403,-3.253129243850708,-2.9673616886138916,0.028092781081795692,00:01
404,-3.25559401512146,-2.9602348804473877,0.027844445779919624,00:01
405,-3.2634382247924805,-2.953612804412842,0.02784085087478161,00:01
